state_code,"county_code","value"
24,013,0.00816
13,113,0.00816
42,007,0.02041
39,137,0.00408
27,139,0.02041
13,117,0.00408
37,045,0.05306
39,133,0.03673
37,097,0.02041
39,035,0.33469
40,115,0.00408
36,069,0.01633
39,139,0.02041
27,137,0.06122
39,033,0.00408
21,141,0.00408
51,800,0.00408
21,029,0.01633
39,165,0.02041
19,169,0.01633
53,037,0.00408
12,053,0.00816
40,119,0.00816
27,013,0.00816
12,057,0.18367
47,063,0.00408
25,013,0.11020
25,011,0.00408
29,071,0.00408
25,017,0.40816
25,015,0.02857
42,019,0.01224
01,055,0.00408
48,273,0.01224
06,107,0.01633
42,011,0.05306
39,045,0.00408
42,013,0.04490
06,103,0.02041
06,077,0.07347
06,101,0.00408
42,017,0.16327
35,049,0.00408
30,093,0.00408
51,650,0.00816
48,347,0.01224
13,219,0.00816
51,153,0.01224
48,277,0.00408
05,145,0.00408
30,029,0.00408
01,051,0.00408
34,011,0.04082
34,013,0.11837
34,015,0.19184
34,017,0.17551
54,107,0.03673
21,093,0.02041
18,021,0.00816
18,141,0.04898
21,157,0.00408
36,033,0.00408
21,151,0.03265
26,067,0.01633
39,147,0.01633
26,065,0.11429
37,127,0.00408
38,101,0.00408
06,075,0.00408
23,001,0.00816
49,003,0.00816
06,039,0.01633
42,069,0.03265
01,059,0.00408
29,101,0.00408
29,103,0.00408
17,183,0.02041
06,037,1.00000
17,185,0.00816
42,063,0.02041
26,103,0.01633
47,043,0.01633
47,045,0.00408
20,177,0.02041
20,173,0.09388
42,015,0.02449
17,167,0.02449
17,165,0.00408
17,163,0.02857
17,161,0.06531
18,029,0.00408
08,013,0.00408
55,059,0.05306
55,117,0.01224
50,007,0.01224
01,029,0.00816
31,019,0.00816
48,329,0.02041
31,043,0.01633
53,077,0.03265
53,073,0.00408
48,321,0.00408
48,323,0.01633
08,059,0.01224
45,059,0.00408
48,453,0.11429
41,009,0.01633
45,051,0.10204
54,097,0.00408
45,055,0.00408
16,011,0.00408
41,005,0.00408
51,680,0.01633
47,037,0.11429
29,201,0.01224
51,685,0.01224
28,045,0.00408
19,061,0.03265
20,103,0.04082
37,057,0.00816
13,153,0.01224
37,051,0.04082
13,151,0.00408
39,077,0.04082
13,097,0.00816
13,095,0.02857
37,059,0.00408
42,115,0.00816
48,215,0.08980
33,009,0.00816
36,119,0.25714
42,111,0.02041
36,055,0.11837
05,131,0.00408
55,025,0.05306
48,157,0.04082
36,059,0.31837
36,111,0.02449
42,119,0.00408
36,117,0.01224
33,005,0.02449
51,071,0.01224
06,029,0.05306
51,510,0.02041
56,005,0.00408
53,075,0.00408
37,109,0.01224
36,015,0.01224
24,025,0.04898
24,027,0.02449
24,021,0.03265
39,047,0.00408
24,029,0.00408
20,051,0.01224
39,005,0.00816
40,145,0.01224
13,021,0.05714
51,750,0.00816
27,145,0.04898
40,143,0.05306
40,027,0.02857
30,111,0.00408
37,153,0.00408
39,009,0.02857
16,069,0.00408
40,021,0.01633
51,630,0.01633
21,111,0.12653
21,117,0.02857
40,015,0.00408
18,181,0.00408
18,183,0.00408
54,027,0.01633
21,059,0.02041
18,069,0.00816
36,075,0.00408
18,063,0.01224
18,061,0.00408
18,067,0.01224
32,003,0.24082
42,021,0.01633
27,009,0.00408
29,213,0.01224
42,025,0.02449
26,145,0.02449
42,027,0.04490
26,147,0.02857
42,029,0.08980
26,149,0.00408
12,005,0.02857
12,003,0.00408
28,001,0.00408
51,107,0.02857
37,129,0.02041
51,101,0.01224
29,021,0.02449
01,003,0.02041
29,027,0.00408
30,013,0.01224
34,041,0.01224
35,061,0.00408
53,041,0.22041
05,033,0.00408
05,031,0.00408
18,117,0.00408
18,173,0.00408
15,003,0.07755
55,035,0.02041
17,121,0.00408
46,099,0.02449
28,081,0.00408
24,510,0.00816
18,177,0.02449
39,021,0.01224
30,063,0.00816
06,047,0.02041
23,019,0.01224
26,035,0.00408
53,033,0.14694
26,139,0.03265
53,035,0.02041
17,113,0.01633
26,033,0.02449
39,173,0.04082
39,025,0.02041
20,087,0.00408
47,179,0.01224
06,079,0.00816
51,730,0.01633
48,381,0.02041
39,029,0.01224
47,077,0.00816
01,113,0.01633
36,017,0.00408
19,103,0.03265
55,063,0.04490
26,037,0.00408
36,013,0.01224
13,215,0.05306
36,011,0.00816
13,045,0.01224
39,151,0.17551
27,037,0.09388
36,019,0.00408
37,017,0.00408
06,021,0.00408
37,089,0.00408
48,251,0.01224
29,159,0.01224
48,257,0.00408
19,083,0.00408
45,007,0.00408
41,071,0.00408
39,161,0.00408
