lat,lon,value
33.94130974,-84.33391883,19
39.9105176,-78.9672402,146
38.85740533,-91.94547225,4
40.84374023,-73.9889785,465
41.5512806,-74.19265824,465
39.83661827,-75.44532544,633
36.0862624,-79.89080587,40
39.85732269,-74.71787263,633
46.74423967,-92.2365999,15
46.98541072,-123.8145798,2
30.27683403,-87.69401932,35
42.47596425,-71.18333984,271
32.07830518,-96.50000003,4
40.86684994,-73.91996831,465
40.2996016,-75.60901624,633
39.59268414,-75.10893303,633
47.06836249,-122.26009085,64
39.92477283,-82.89440633,25
38.5205802,-121.4555107,61
39.29585346,-75.62673239,43
38.89680553,-77.2697312,125
40.78500943,-76.23426549,33
44.9577976,-93.0116715,87
40.32025957,-111.70915546,32
39.5508108,-89.309147,39
43.10763257,-83.63672251,224
36.0766817,-79.9533876,40
42.01133836,-71.44788325,181
32.80116813,-117.15788259,100
29.97387827,-90.00649941,29
39.9863099,-75.1554113,633
40.61611112,-75.38986266,633
40.8244673,-96.6725754,35
39.97357941,-75.04061127,633
28.13986725,-82.78508973,28
39.77112365,-104.99242165,59
41.49819513,-90.53281392,44
33.65664033,-117.90324102,100
46.1703548,-119.14438671,20
42.16123199,-88.42275085,322
32.69265912,-97.27605907,70
40.74471338,-73.78901959,687
41.83758584,-94.09069342,47
35.52612159,-97.9412656,55
38.81015447,-90.35440134,107
47.1348762,-122.2903264,64
38.82175883,-90.339602,107
38.92485861,-84.54494756,126
42.297781,-89.0074389,33
40.22738297,-74.03302942,687
39.6795763,-79.88740324,146
43.5368505,-83.97177828,224
29.88474316,-95.46841018,143
37.75327621,-87.19499954,17
38.2045741,-85.6809658,126
41.48379625,-73.04594849,246
43.04437658,-76.25268276,58
42.9025388,-87.8582323,186
40.33609022,-76.73650081,93
36.97313328,-120.06783269,37
40.56816763,-74.12869028,687
40.7160224,-73.80362698,687
34.11908034,-117.7789191,131
29.34693832,-98.41604965,11
33.98780422,-81.03609268,34
37.24443584,-93.27732565,11
35.34499786,-77.9681042,35
36.1638958,-86.7617057,60
35.023325,-89.831159,15
33.5059168,-86.8486744,27
40.8070545,-77.862281,11
