lot	lon	time
29.7338587	-95.40659434	2012-12-16
26.5992488	-81.8141257	2012-12-12
40.50144539	-79.81602159	2012-12-12
27.97859365	-82.30128325	2012-12-11
41.02395765	-73.7869147	2012-12-11
41.46681014	-81.83824349	2012-12-12
42.19911205	-83.5011535	2012-12-17
41.92604086	-87.74774546	2012-12-13
45.49646067	-122.67014452	2012-12-12
26.5992976	-81.8142074	2012-12-15
42.82914368	-73.72533827	2012-12-17
41.44262021	-81.74529465	2012-12-17
43.24917	-89.35924	2012-12-14
40.60047569	-73.95265046	2012-12-11
40.39440018	-75.58896665	2012-12-11
30.59592973	-88.23708361	2012-12-12
41.27731475	-80.54215693	2012-12-17
46.46976006	-122.86486281	2012-12-13
32.16020543	-98.25357565	2012-12-12
28.06942266	-82.55962051	2012-12-17
40.8102298	-81.492447	2012-12-12
40.26722392	-74.96214797	2012-12-18
34.80865878	-87.67061902	2012-12-13
39.14385089	-77.22725207	2012-12-11
32.8661862	-83.606955	2012-12-16
25.77236708	-80.38191247	2012-12-17
37.11267911	-94.45320005	2012-12-14
40.78898495	-74.3723774	2012-12-17
39.64455321	-75.11524437	2012-12-13
32.34363014	-111.10747855	2012-12-11
34.4322426	-86.5410517	2012-12-16
34.32001863	-84.14951323	2012-12-14
40.69784939	-73.29336955	2012-12-11
30.24627596	-85.91993865	2012-12-14
40.19546004	-79.94395835	2012-12-17
25.96994	-80.14533	2012-12-12
41.51777408	-74.23885804	2012-12-12
30.36446813	-87.61214381	2012-12-18
35.95867683	-89.98108498	2012-12-10
35.53013995	-82.66606829	2012-12-12
33.32596465	-111.76884313	2012-12-13
29.82798245	-81.2760156	2012-12-12
39.29759481	-94.92118897	2012-12-12
32.92239794	-96.56839529	2012-12-11
39.55745379	-77.79548362	2012-12-17
39.90317354	-75.287314	2012-12-11
40.75247254	-73.79154462	2012-12-15
40.09812192	-75.15811586	2012-12-11
39.98300167	-74.79720066	2012-12-14
29.88952485	-97.68720039	2012-12-13
41.60936506	-87.04666257	2012-12-16
40.72882694	-80.56879261	2012-12-14
35.3555883	-79.832482	2012-12-12
40.75427568	-73.97837839	2012-12-17
40.81050314	-74.74612336	2012-12-11
40.1432784	-74.812927	2012-12-11
26.12337559	-80.39940661	2012-12-11
38.42943474	-121.43997833	2012-12-11
29.16954868	-82.17853115	2012-12-11
47.19889386	-122.57400622	2012-12-12
42.093112	-72.5763596	2012-12-17
40.13809076	-74.93757369	2012-12-11
40.95959054	-72.94463502	2012-12-12
35.6074422	-77.3621881	2012-12-12
40.38703448	-80.01739837	2012-12-17
38.43957776	-121.43652574	2012-12-17
39.94317389	-86.21227839	2012-12-14
42.44260494	-83.18145638	2012-12-18
41.68898043	-71.16338636	2012-12-17
35.31362461	-81.58333916	2012-12-12
34.19804492	-79.77198301	2012-12-13
41.31839193	-81.56628373	2012-12-17
45.53900822	-122.92654381	2012-12-12
42.18911896	-88.38871566	2012-12-12
39.87516623	-75.31378047	2012-12-12
46.61032114	-122.90747817	2012-12-12
28.59526609	-81.49553746	2012-12-11
37.28222804	-79.92943713	2012-12-12
41.48739208	-72.66200763	2012-12-14
42.16502841	-88.04102241	2012-12-10
32.38627546	-96.84889741	2012-12-17
46.61310322	-120.5491873	2012-12-16
39.78378086	-94.85762228	2012-12-12
38.85810202	-94.77748149	2012-12-11
42.3038887	-71.74315791	2012-12-12
39.90327536	-75.28760604	2012-12-11
26.5993299	-81.8142254	2012-12-16
41.87667529	-87.62563086	2012-12-12
28.04620644	-82.48639907	2012-12-14
40.24587064	-74.30657939	2012-12-13
41.41141099	-81.69050675	2012-12-17
41.13333088	-100.75511479	2012-12-12
41.7209658	-72.2041081	2012-12-14
29.74994232	-90.13354794	2012-12-13
40.26643728	-81.61652162	2012-12-12
32.9421585	-80.1409987	2012-12-10
45.53851734	-122.81791864	2012-12-14
40.85289903	-73.98321986	2012-12-11
40.68996982	-73.29710939	2012-12-11
35.5522194	-81.062904	2012-12-12
33.25258113	-111.84341325	2012-12-14
40.99708445	-75.49677147	2012-12-15
40.70751074	-74.18369221	2012-12-12
29.3456585	-98.8727414	2012-12-13
39.60472675	-104.6808141	2012-12-11
33.65872376	-95.37791139	2012-12-14
40.53154133	-74.6739716	2012-12-15
29.740669	-99.0275336	2012-12-12
47.26360019	-122.4453829	2012-12-15
39.11141295	-84.52720497	2012-12-11
29.1746408	-82.1377895	2012-12-12
40.28581179	-76.95193504	2012-12-12
29.99368215	-98.86515328	2012-12-15
29.88474553	-95.4683982	2012-12-17
41.35504525	-73.81461965	2012-12-11
38.77743939	-77.25479507	2012-12-12
40.80573857	-74.14909422	2012-12-12
32.73147101	-117.19628708	2012-12-17
41.70563323	-72.8688969	2012-12-15
41.31443997	-73.21842557	2012-12-17
38.75279751	-90.2237074	2012-12-11
38.52181264	-121.45970721	2012-12-15
41.70244744	-85.93375814	2012-12-11
40.28023123	-74.73529464	2012-12-15
42.1496269	-83.49568384	2012-12-14
41.54724008	-81.55719232	2012-12-11
40.71651795	-73.23480704	2012-12-10
33.2070354	-79.9950827	2012-12-17
45.53186813	-122.4193833	2012-12-13
42.3776632	-71.06097985	2012-12-11
40.75172062	-73.970707	2012-12-15
39.01951586	-121.41332338	2012-12-13
42.3739447	-87.857907	2012-12-17
33.95673941	-86.59269058	2012-12-12
39.76228357	-75.16068961	2012-12-12
41.2649801	-73.0917983	2012-12-16
38.97888802	-82.07634662	2012-12-11
37.74031302	-86.38535387	2012-12-13
40.63191991	-73.9674691	2012-12-18
43.6164704	-116.4504592	2012-12-10
40.57792806	-73.94175194	2012-12-12
40.49272665	-74.44654326	2012-12-14
33.7707556	-83.82433419	2012-12-13
41.0369338	-73.5811539	2012-12-14
39.91732431	-75.16864454	2012-12-13
41.7055742	-72.59480476	2012-12-14
29.582287	-95.62936269	2012-12-18
40.15807045	-79.91925041	2012-12-11
34.11004396	-81.19745164	2012-12-12
32.40700956	-85.71704637	2012-12-13
27.89766715	-97.33891051	2012-12-10
40.20963924	-74.6563152	2012-12-14
37.85775383	-87.56507028	2012-12-14
48.11305179	-122.23982454	2012-12-12
37.72607965	-97.44746245	2012-12-10
27.96127834	-81.92807249	2012-12-14
40.0661833	-82.96718937	2012-12-10
44.9659835	-93.0347302	2012-12-13
43.32306393	-73.64277393	2012-12-10
33.32601874	-111.76884491	2012-12-13
35.02915	-85.119795	2012-12-11
40.78805864	-73.21167775	2012-12-15
33.8388145	-118.3076869	2012-12-11
39.97311995	-75.33285014	2012-12-17
38.96251187	-84.63813052	2012-12-14
